Task name,Assigned To,Due Date,Parent item,Priority,Status,Sub-item,Task Category
完成容器执行器（Docker / Podman）,,,,High,Halfway done,,Phase 1 — Core Runtime (https://app.notion.com/p/Phase-1-Core-Runtime-fd639187be2644fdbe0befdddf79c451?pvs=21)
定义插件格式（YAML + JSON Schema）,,,,Medium,Not started,,Phase 1 — Core Runtime (https://app.notion.com/p/Phase-1-Core-Runtime-fd639187be2644fdbe0befdddf79c451?pvs=21)
完成 Pipeline Builder（基于 React Flow）,,,,Medium,Not started,,Phase 2 — UI & Pipeline (https://app.notion.com/p/Phase-2-UI-Pipeline-3f19d5f46e48474f92e3866475004f5f?pvs=21)
支持 Prokka / Roary Pipeline,,,,High,Not started,,Phase 2 — UI & Pipeline (https://app.notion.com/p/Phase-2-UI-Pipeline-3f19d5f46e48474f92e3866475004f5f?pvs=21)
完成基础 UI（Dashboard、任务列表）,,,,High,Not started,,Phase 2 — UI & Pipeline (https://app.notion.com/p/Phase-2-UI-Pipeline-3f19d5f46e48474f92e3866475004f5f?pvs=21)
建立插件市场,,,,Medium,Not started,,Phase 3 — 插件生态 (https://app.notion.com/p/Phase-3-e1b98ac40b27459eb6d4212c65d3476d?pvs=21)
发布插件 SDK,,,,High,Not started,,Phase 3 — 插件生态 (https://app.notion.com/p/Phase-3-e1b98ac40b27459eb6d4212c65d3476d?pvs=21)
完成 DAG 调度器（并行/条件/重试/恢复）,,,,High,Halfway done,,Phase 1 — Core Runtime (https://app.notion.com/p/Phase-1-Core-Runtime-fd639187be2644fdbe0befdddf79c451?pvs=21)
发布官方插件 3–5 个,,,,Medium,Not started,,Phase 3 — 插件生态 (https://app.notion.com/p/Phase-3-e1b98ac40b27459eb6d4212c65d3476d?pvs=21)
搭建 React.js + Tauri 项目脚手架,,,,High,Not started,,Phase 2 — UI & Pipeline (https://app.notion.com/p/Phase-2-UI-Pipeline-3f19d5f46e48474f92e3866475004f5f?pvs=21)